category,file,notes
heroes,ninja_heroes_lineup.png,4 ninja hero characters on transparent background
heroes,magic_heroes_lineup.png,4 magic hero characters on transparent background
bosses,ninja_bosses_lineup.png,3 ninja-themed enemy bosses on transparent background
bosses,fantasy_bosses_lineup.png,3 fantasy enemy bosses on transparent background
backgrounds,gameplay_arenas_sheet.png,4 gameplay environment panels
backgrounds,boss_battle_arenas_sheet.png,4 boss battle environment panels
fx,ninja_action_fx_sheet.png,Ninja slashes impacts speedlines and smoke FX
fx,magic_vfx_sheet.png,Magic bolts glyphs summons portals and particle FX
hints,phonics_hints_set_1.png,20 phonics hint cards/illustrations
hints,phonics_hints_set_2.png,20 phonics hint cards/illustrations
